,,,,,,,,,*คำนวณ โดยหารจำนวนเดือนที่มียอดขาย,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Product Class,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,Oct 25- Mar 26,,,Total (Oct25-Mar26),,Q4Y25,,Q1Y26,,,12,13,14,15,16,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,,,,,,,,
,FlavorCode,Flavor Description,Flavor,Size,Category,Net Value 6M,GP%,GP amount,AVE QTY,AVE Amount,AVE QTY,AVE Amount,AVE QTY,AVE Amount,Class 2026 Mar,Class 2025 Feb,Class 2024 Jul,Class 2024 Feb,Class 2023 Jul,Class 2023 , FG (Days) , RM (% of Rolling next Month) , CTN/Batch , Minimum Production ," AVG
Act Batch  ", Batch size , Max batch/lot , MOQ require 4 batch (Ctn) , MOQ require 3 batch (Ctn) , MOQ require 2 batch (Ctn) ," CVM
MOQ
FG ", Remark , Supplier PKG , LT PKG , MOQ (PM) ชิ้น , Box/ ctn , MOQ (PM) ลัง ," Price/
pcs "," Shelf Life
PKG (M) "," CVM
MOQ
PKG ", FC ACC Y2025 ,,,,,,,
,1A5C5180000,DoubleTomato--1000ml,DoubleTomato--1000ml,1000ml,VJ 100%,"5,040,361",0.171,"862,559","1,690","840,060","1,474","746,524","1,906","933,596", Discon , B , B , B , B , B ,0,0%,412,740,4,"5,050",19,"1,650","1,237",825,0.4, -   , SIG ,15,"76,000",12,"6,333",7,18,3.7,70%,,,,,,,
,1A5AC2A0000,Less sweet Apple Juice--180ml,Less sweet Apple Juice--180ml,180ml,Less Sweet,"1,880,069",0.651,"1,223,105","1,066","313,345","1,189","350,292",943,"276,398", Discon , B , NPD , NPD , -   , -   ,0,0%,"1,041","1,666",2,"4,590",17,"4,165","3,124","2,083",1.6, -   , Nippon ,10,"200,000",24,"8,333",1,12,7.8,79%,,,,,,,
,1A5C5A00000,VegMixed--1000ml,VegMixed--1000ml,1000ml,VJ 100%,"1,220,999",0.094,"114,655",467,"203,500",502,"222,371",432,"184,629", Discon , C , C , C , B , C ,0,0%,384,750,3,"4,700",27,"1,535","1,152",768,1.6, -   , SIG ,15,"76,000",12,"6,333",6,18,13.6,64%,,,,,,,
,1A5C5010000,32veggie100%--1000ml,32veggie100%--1000ml,1000ml,VJ 100%,"780,870",0.321,"250,786",211,"130,145",105,"69,201",318,"191,089", Discon , Watching , Watching , C , C , C ,0,0%,384,770,1,"4,700",27,"1,535","1,152",768,3.6, -   , SIG ,15,"76,000",12,"6,333",6,18,30,60%,,,,,,,
,1A5A5120000,Mangosteen--1000ml,Mangosteen--1000ml,1000ml,FJ 100%,"664,138",0.255,"169,396",144,"116,073",177,"137,463",111,"83,916", Discon , To be Discuss , B , B , B , B ,0,0%,376,758,3,"4,600",27,"1,503","1,127",751,5.3, -   , SIG ,15,"76,000",12,"6,333",6,18,44,83%,,,,,,,
,1A5C2010000,32veggie100%--200ml,32veggie100%--200ml,200ml,VJ 100%,"68,752",0.505,"34,754",49,"11,459",41,"13,142",56,"9,776", Discon , Watching , Watching , Watching , Watching , Watching ,0,0%,960,960,1,"4,700",17,"3,840","2,880","1,920",19.7, -   , Tetra ,7,"369,000",24,"15,375",2,12,316.3,58%,,,,,,,
,1A5JHA7P000,Tipco Play Guava Ume--180ml,Tipco Play Guava Ume--180ml,180ml,Tipco Play,"14,492",0.626,"9,069",178,"4,831",45,"8,281",245,"3,105", Discon , To be Discon , NPD , NPD , -   , -   ,0,0%,"1,021","2,042",2,"4,500",17,"4,084","3,063","2,042",11.5, -   , SIG ,6,"470,000",24,"19,583",2,18,109.8,0%,,,,,,,
,1A5A5H10000,Prune&Grape--1000ml,Prune&Grape--1000ml,1000ml,FJ 100%,"7,361",0, -   ,5,"2,454",5,"2,454", -   , -   , Discon , Watching , C , C , C , C ,0,0%,368,736,1,"4,500",27,"1,472","1,104",736,148, -   , SIG ,15,"76,000",12,"6,333",6,18,"1,273.70",82%,,,,,,,
,1A5AC3A0000,Less sweet Tropical Juice--180ml,Less sweet Tropical Juice--180ml,180ml,Less Sweet,"1,752",0, -   ,5,"1,752",5,"1,752", -   , -   , Discon , Discontinue , NPD , NPD , -   , -   ,0,0%,"1,021","2,042",2,"4,500",17,"4,084","3,063","2,042",408.4, -   , Nippon ,10,"200,000",24,"8,333",1,12,"1,666.70",48%,,,,,,,
,1A5B5Q00000,Shogun--1000ml_SQ,Shogun--1000ml_SQ,1000ml,Squeeze,"6,837,203",0.209,"1,429,450","14,228","1,139,534","13,176","1,064,813","15,279","1,214,255", A+ , A+ , A+ , A+ , A+ , A+ ,0,0%, -   , -   , -   , -   ,6, -   , -   , -   , -   , -   , Evergreen ,10,"100,000",1,"100,000",4,12,7,91%,,,,,,,
